Prompt,Ideal Response,LLM Response,METEOR_Score
What is the chemical symbol for silicon?,The chemical symbol for silicon is Si.,Answer: The chemical symbol for silicon is Si.,0.9746570121951220
What is the largest volcano in the world (by mass/volume)?,The largest volcano in the world by mass and volume is Mauna Loa in Hawaii.,Answer: Mount Everest (by mass),0.12335526315789500
Who wrote 'The Divine Comedy'?,Dante Alighieri wrote 'The Divine Comedy'.,Answer: Dante Alighieri wrote 'The Divine Comedy'.,0.9746570121951220
What is the largest organ in the human body?,The largest organ in the human body is the skin.,Answer: The largest organ in the human body is the brain.,0.8892857142857140
What is the longest river in Asia?,The longest river in Asia is the Yangtze River.,"Answer: The longest river in Asia is the Yangtze River, which flows for 13,000 km (8,100 mi) from its source in the Tibetan Plateau to the East China Sea.",0.6681451612903230
What is the currency of the United Kingdom?,The currency of the United Kingdom is the Pound Sterling.,Answer: The currency of the United Kingdom is the pound sterling (GBP).,0.9536471433704640
What is the capital of India?,The capital of India is New Delhi.,Answer: Delhi is the capital of India.,0.783572688334593
What is the chemical symbol for phosphorus?,The chemical symbol for phosphorus is P.,Answer: The chemical symbol for phosphorus is P.,0.9746570121951220
What is the name of the process of a gas turning into a plasma?,The process is ionization.,Answer: The process of a gas turning into a plasma is called plasma discharge.,0.5174180327868850
Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky wrote 'Crime and Punishment'.,Answer: Dostoevsky wrote 'Crime and Punishment'.,0.8629377676996720
What is the largest desert in South America?,The largest desert in South America is the Atacama Desert.,Answer: The largest desert in South America is the Atacama Desert.,0.9817739079102720
What is the currency of France?,The currency of France is the Euro.,Answer: The currency of France is the euro (EUR).,0.9338235294117650
What is the chemical symbol for hydrogen?,The chemical symbol for hydrogen is H.,Answer: Hydrogen is represented by the chemical symbol H.,0.8101794934841410
What is the average number of bones in the adult human body?,The average number of bones in the adult human body is 206.,Answers: The average number of bones in the adult human body is 206.,0.9846243500089650
What is the largest forest in the world?,The largest forest in the world is the Taiga (Boreal Forest).,"Answer: The largest forest in the world is the Amazon rainforest, covering an area of approximately 2,300,000 square kilometers (900,000 square miles).",0.6851941878679850
What is the name of the process of generating heat from an exothermic reaction?,This process is combustion.,Answer: The process of generating heat from an exothermic reaction is called combustion.,0.5260416666666670
